1.25192 24.20876 | 45.47860 3.49247
1.10547 24.25812 | 45.91208 3.47447
0.92158 24.34017 | 46.36825 3.48035
0.63736 24.67982 | 46.82871 3.47769
0.34553 24.69295 | 47.28905 3.47545
0.26572 24.89710 | 47.75112 3.46772
0.12136 25.32159 | 48.21623 3.47228
-0.01943 25.61955 | 48.68054 3.48770
-0.09120 25.61091 | 49.15323 3.49726
-0.08408 25.74086 | 49.62828 3.51478
-0.06236 26.03261 | 50.10452 3.53404
-0.02552 26.33894 | 50.57254 3.54284
0.02699 26.51267 | 51.04502 3.54619
0.22789 26.55173 | 51.51625 3.56018
0.15321 26.34801 | 51.99194 3.57548
0.26638 26.10399 | 52.46668 3.59103
0.23275 25.94053 | 52.94268 3.62354
0.34898 25.85199 | 53.41573 3.64396
0.22457 25.78631 | 53.89096 3.67596
0.16099 25.71134 | 54.36573 3.70751
